clean_comment,label,comment,rating,source_url,keyword,date
"chất_lượng sản_phẩm tot giao hàng cực , trời mưa_tưởng hôm giao cửa_hàng giao tối , vote 5",2,"Chất lượng sản phẩm:tot

Giao hàng cực nhanh, trời mưa tưởng hôm sau mới giao mà shop đã giao ngay trong buổi tối, vote 5* luôn",5,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,camera wifi ngoài trời,2025-06-23
"camera lý_tưởng gia_đình , văn_phòng không_gian giám_sát video tin_cậy . camera dễ_dàng lắp_đặt giá đỡ tích_hợp hỗ_trợ kết_nối wi-fi dây .",2,"Camera lý tưởng cho gia đình, văn phòng hoặc các không gian khác cần giám sát video đáng tin cậy. Camera dễ dàng lắp đặt nhờ giá đỡ tích hợp và hỗ trợ kết nối Wi-Fi không dây.",5,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,camera wifi ngoài trời,2025-10-25
tính_năng nổi_bật chất_lượng sản_phẩm sản_phẩm cửa_hàng giao_rùi . sản_phẩm mô_tả . chất_lượng sản_phẩm . camenra cài_đặt nhanh_chóng . chạy mượt_mà . okok . hài_lòng . cửa_hàng nhiệt_tình uy_tín lắm . giao sản_phẩm cực . mua tiếp sản_phẩm shop . mg nhu_cầu yên_tâm mua . lười chụp hình_ảnh tính_chất_minh họa,2,"Tính năng nổi bật:mới
Chất lượng sản phẩm:tốt

Mình đã nhận đc sản phẩm của shop giao rùi. Sản phẩm đúng như mô tả. Chất lượng sản phẩm tốt. Camenra cài đặt nhanh chóng. Chạy mượt mà. Okok. Mình rất hài lòng. Shop nhiệt tình uy tín lắm. Giao sản phẩm cực nhanh. Mình sẽ mua tiếp sản phẩm của shop. Mg có nhu cầu yên tâm mua nhé. Lười chụp hình ảnh mang tính chất minh họa",5,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,camera wifi ngoài trời,2025-05-28
"hàng , test hàng ok . thời_gian thế_nào . đóng_gói cẩn_thận , giao hàng . hàng nguyên_hộp . tuyệt_vời . ủng_hộ shop , cửa_hàng 5",2,"Đã nhận được hàng, test hàng thấy ok.
Dùng thời gian xem thế nào. 
Đóng gói cẩn thận, giao hàng nhanh.
Hàng nguyên hộp. Tuyệt vời.
Ủng hộ shop, cho shop 5 sao",5,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,camera wifi ngoài trời,2025-03-05
chất_lượng sản_phẩm tot tính_năng nổi_bật quay_phim chụp ảnh . quảng_cáo . nét sony . gọn lắp đk . cửa_hàng đóng_gói chắc_chắn . hộp nguyên_đai nguyên_kiện . móp_méo . good . ủng_hộ cửa_hàng .,2,"Chất lượng sản phẩm:tot
Tính năng nổi bật:quay phim chụp ảnh

Rất tốt. Đúng như quảng cáo. Quay nét như sony. Nhỏ gọn lắp đâu cũng đk. Shop đóng gói chắc chắn. Hộp nguyên đai nguyên kiện. Ko móp méo. Good. Sẽ ủng hộ shop lần sau.",5,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,camera wifi ngoài trời,2025-10-13
"chất_lượng sản_phẩm ok tính_năng nổi_bật ok loa to , dây sạc , cửa_hàng phản_hồi , hình_ảnh vs tapo ezvid hơi_bệt 1 chút vấn_đề",2,"Chất lượng sản phẩm:ok
Tính năng nổi bật:ok

Loa to, dây sạc dài, shop phản hồi nhanh, hình ảnh so vs tapo hay ezvid thấy hơi bệt 1 chút nhưng k có vấn đề gì",5,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,camera wifi ngoài trời,2025-02-15
"chất_lượng sản_phẩm , đóng_gói cẩn_thận , hàng nhanh_chóng . chất_lượng sản_phẩm thất_vọng , giá_cả hợp_lý . đánh_giá 5 . chất_lượng sản_phẩm ổn_định , giá_cả phải_chăng . hài_lòng . chất_lượng sản_phẩm tuyệt_vời , giá_thành hợp_lý . giới_thiệu bạn_bè . chất_lượng sản_phẩm giá_trị . mua shopee . dịch_vụ giao hàng , sản_phẩm chất_lượng . hài_lòng 100 .",2,"* Chất lượng sản phẩm rất tốt, đóng gói cẩn thận, nhận hàng nhanh chóng.
* Chất lượng sản phẩm không làm thất vọng, giá cả hợp lý. Đánh giá 5 sao.
* Chất lượng sản phẩm ổn định, giá cả phải chăng. Tôi rất hài lòng.
* Chất lượng sản phẩm tuyệt vời, giá thành hợp lý. Đã giới thiệu cho bạn bè.
* Chất lượng sản phẩm vượt xa giá trị của nó. Sẽ mua lại ở Shopee.
* Dịch vụ giao hàng nhanh, sản phẩm chất lượng. Hài lòng 100%.",5,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,camera wifi ngoài trời,2025-06-19
sản_phẩm mua ! hàng hãng . ủng_hộ cửa_hàng dài_dài . giá rẻ mua . 5,2,Sản phẩm đáng mua nhé! Hàng chính hãng dùng tốt. Ủng hộ shop dài dài. Giá rẻ hơn mua ngoài nhiều. Cho 5 sao luôn,5,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,camera wifi ngoài trời,2025-04-25
"cam hoạt_động ổn_định , thik imou điều_khiển app hoạt_động lỗi",2,"cam hoạt động ổn định, mình thik imou dễ điều khiển app hoạt động ít lỗi",5,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,camera wifi ngoài trời,2025-06-21
"tính_năng nổi_bật ghi_hình , theo_dõi chuyển_động , cam_bao nét chất_lượng sản_phẩm chất_lượng , bao_bọc kỹ",2,"Tính năng nổi bật:ghi hình, theo dõi chuyển động, cam bao nét
Chất lượng sản phẩm:chất lượng tốt, bao bọc kỹ",5,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,camera wifi ngoài trời,2025-10-16
