clean_comment,label,comment,rating,source_url,keyword,date
chất_lượng sản_phẩm tuyệt_vời nha đóng_gói sản_phẩm đẹp chắc_chắn lắm cửa_hàng phục_vụ tư_vấn nhiệt_tình lắm giao hàng nha,2,Chất lượng sản phẩm rất tuyệt vời nha    Đóng gói sản phẩm rất đẹp và chắc chắn lắm     Shop phục vụ rất tốt nhé tư vấn nhiệt tình lắm      Giao hàng nhanh nha :>>>,5,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db,robot hút bụi lau nhà,2024-06-29
"đầy_đủ phụ_kiện . sử_dụng 1 , hôm_nay vao đánh_giá , chất_lượng sản_phẩm tốt_bền , rẻ , đẹp . vận_chuyển 2 đóng_gói kỹ . 5 . thanhs chúc cửa_hàng thành_công .",2,"Đầy đủ phụ kiện. Sau khi sử dụng gần 1 tháng,hôm nay vao đánh giá , chất lượng sp rất tốt : bền , rẻ, đẹp. Ship nhanh trong 2 ngày và đóng gói rất kỹ. đáng 5 sao. Thanhs và chúc shop thành công.",5,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db,robot hút bụi lau nhà,2024-06-25
"máy chạy khỏe , lực hút , hút sạch bụi bẩn , sàn gỗ khe máy hút bụi , chống rơi , điều_khiển app điện_thoại , hộp đựng rác to chuyển_hướng chướng_ngại_vật , sử_dụng đóng_gói kỹ_lưỡng giao hàng",2,"Máy chạy khỏe, lực hút mạnh, hút sạch cả những bụi bẩn nhỏ, nhà mình sàn gỗ có những khe nhưng máy vẫn hút được bụi, chống rơi tốt, điều khiển qua app điện thoại, hộp đựng rác to Biết tự chuyển hướng khi gặp chướng ngại vật, dễ sử dụng Đóng gói kỹ lưỡng và giao hàng nhanh",5,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db,robot hút bụi lau nhà,2024-06-29
"đầy_đủ phụ_kiện . sử_dụng 1 , hôm_nay vao đánh_giá , chất_lượng sản_phẩm tốt_bền , rẻ , đẹp . vận_chuyển 2 đóng_gói kỹ . 5 . thanhs chúc cửa_hàng thành_công .",2,"Đầy đủ phụ kiện. Sau khi sử dụng gần 1 tháng,hôm nay vao đánh giá , chất lượng sp rất tốt : bền , rẻ, đẹp. Ship nhanh trong 2 ngày và đóng gói rất kỹ. đáng 5 sao. Thanhs và chúc shop thành công.",5,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db,robot hút bụi lau nhà,2024-06-29
"máy chạy hút , gọn_nhẹ sử_dụng , vệ_sinh máy tón diện_tích , giao hàng , hôm 2 có_mặt . hài_lòng",2,"Máy chạy hút mạnh, gọn nhẹ dễ sử dụng, vệ sinh máy và không tón diện tích trong nhà, giao hàng nhanh, mới đặt hôm trc 2 ngày sau đã có mặt tại nhà. rất hài lòng",5,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db,robot hút bụi lau nhà,2024-06-25
"máy hút khỏe sạch . chạy êm_lau sàn tương_đối không_thể lau_nha . giá sản_phẩm rẻ . nói_chung máy chất_lượng mua , ảnh tính_chất xu cửa_hàng",2,"máy hút khỏe và sạch.chạy êm lau sàn tương đối thôi chứ k thể bằng người lau nha.giá so với sản phẩm là rẻ.nói chung máy chất lượng nên mua ạ, ảnh mang tính chất nhận xu nhé shop",5,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db,robot hút bụi lau nhà,2024-06-25
"đọc review cửa_hàng máy chạy mua quả_thật , giao hàng , sản_phẩm mô_tả , lực hút khỏe , hút bụi to , ồn máy , mầu sắc_đẹp . ủng_hộ cửa_hàng hơn_nữa .",2,"Đọc review thấy shop bán máy này rất chạy nên nghe theo và mua thì quả thật, Giao hàng rất nhanh, sản phẩm đúng như mô tả, lực hút rất khỏe, hút đc bụi to và nhỏ, không bị ồn và nặng như những máy khác, mầu sắc đẹp. Sẽ ủng hộ shop nhiều hơn nữa.",5,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db,robot hút bụi lau nhà,2024-06-25
"hàng ok , cửa_hàng chuẩn_bị giao hàng ưng_ý . đánh_giá tiếp khách_quan . trươ c mă t vê ca ch đo ng go i , chăm c kha ch ha ng_la ưng y_rô i_a , cửa_hàng 5 nhe",2,"Nhận hàng thì thấy ok, shop chuẩn bị và giao hàng nhanh nên mình ưng ý. Sau khi dùng sẽ quay lại đánh giá tiếp cho khách quan. Nhưng trước mắt về cách đóng gói, chăm sóc khách hàng là ưng ý rồi ạ, cho shop 5sao nhé",5,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db,robot hút bụi lau nhà,2025-03-03
"hàng ok , cửa_hàng chuẩn_bị giao hàng ưng_ý . đánh_giá tiếp khách_quan . trươ c mă t vê ca ch đo ng go i , chăm c kha ch ha ng_la ưng y_rô i_a , cửa_hàng 5 nhe",2,"Nhận hàng thì thấy ok, shop chuẩn bị và giao hàng nhanh nên mình ưng ý. Sau khi dùng sẽ quay lại đánh giá tiếp cho khách quan. Nhưng trước mắt về cách đóng gói, chăm sóc khách hàng là ưng ý rồi ạ, cho shop 5sao nhé",5,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db,robot hút bụi lau nhà,2025-03-03
"sản_phẩm tuyệt_vời mong_đợi , . phục_vụ chăm_sóc khách_hàng nhiệt_tình . đánh_giá cửa_hàng 5 nha .",2,"Sản phẩm tuyệt vời hơn mong đợi, dùng rất tốt. Phục vụ chăm sóc khách hàng rất nhanh và nhiệt tình. Đánh giá shop 5 sao nha.",5,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db,robot hút bụi lau nhà,2024-06-30
