clean_comment,label,comment,rating,source_url,keyword,date
"tính_năng nổi_bật hut_bui mô_tả_dung chất_lượng sản_phẩm tot đuoc , de_thuong , nen mua , hut bui_ổn , giam bot cong viec_nha , co_tgian ngủ , nghỉ",2,"Tính năng nổi bật:hut bui
Đúng với mô tả:dung
Chất lượng sản phẩm:tot

Dùng đuoc, de thuong, nen mua, hut bui ổn, giam bot cong viec nha,co tgian ngủ, nghỉ",5,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.723523606.29951889800?extraParams=%7B%22display_model_id%22%3A226856273723%2C%22model_selection_logic%22%3A3%7D&sp_atk=418ebc77-37e2-4c2b-8b4d-04129102eed7&xptdk=418ebc77-37e2-4c2b-8b4d-04129102eed7,robot hút bụi mini giá rẻ,2024-12-31
"chất_lượng sản_phẩm tuyệt_vời mô_tả ok tính_năng nổi_bật hút bụi mịn tầm_giá sản_phẩm tuyệt_vời , mua chạy ngờ hút bụi phết",2,"Chất lượng sản phẩm:tuyệt vời
Đúng với mô tả:ok
Tính năng nổi bật:hút bụi mịn

Trong tầm giá thì sản phẩm quá tuyệt vời,mua về cho nó chạy chơi chơi nhưng không ngờ lại hút được nhiều bụi phết",5,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.723523606.29951889800?extraParams=%7B%22display_model_id%22%3A226856273723%2C%22model_selection_logic%22%3A3%7D&sp_atk=418ebc77-37e2-4c2b-8b4d-04129102eed7&xptdk=418ebc77-37e2-4c2b-8b4d-04129102eed7,robot hút bụi mini giá rẻ,2025-02-17
"tính_năng nổi_bật đẹp mô_tả chất_lượng sản_phẩm sản_phẩm đẹp , test thử hài_lòng , giá nghĩ_lại mua sản_phẩm chất_lượng",2,"Tính năng nổi bật:đẹp
Đúng với mô tả:đúng
Chất lượng sản phẩm:tốt

sản phẩm đẹp, đã test thử rất hài lòng, với mức giá như này không nghĩ lại mua đc sản phẩm chất lượng đến vậy",5,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.723523606.29951889800?extraParams=%7B%22display_model_id%22%3A226856273723%2C%22model_selection_logic%22%3A3%7D&sp_atk=418ebc77-37e2-4c2b-8b4d-04129102eed7&xptdk=418ebc77-37e2-4c2b-8b4d-04129102eed7,robot hút bụi mini giá rẻ,2024-12-11
"sản_phẩm quảng_cáo . chất_lượng ổn giá tiền . phù_hợp sử_dụng không_gian phòng . cửa_hàng uy_tính , giao hàng hạn . cảm_ơn shop !",2,"Sản phẩm đúng như quảng cáo. Chất lượng ổn so với giá tiền. Phù hợp sử dụng cho không gian phòng nhỏ. Shop uy tính, giao hàng đúng hạn. Cảm ơn shop!",5,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.723523606.29951889800?extraParams=%7B%22display_model_id%22%3A226856273723%2C%22model_selection_logic%22%3A3%7D&sp_atk=418ebc77-37e2-4c2b-8b4d-04129102eed7&xptdk=418ebc77-37e2-4c2b-8b4d-04129102eed7,robot hút bụi mini giá rẻ,2025-07-05
"chất_lượng sản_phẩm tuyệt_vời , đóng_gói sản_phẩm đẹp chắc_chắn , cửa_hàng phục_vụ , thời_gian giao hàng",2,"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn, shop phục vụ rất tốt, thời gian giao hàng rất nhanh",5,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.723523606.29951889800?extraParams=%7B%22display_model_id%22%3A226856273723%2C%22model_selection_logic%22%3A3%7D&sp_atk=418ebc77-37e2-4c2b-8b4d-04129102eed7&xptdk=418ebc77-37e2-4c2b-8b4d-04129102eed7,robot hút bụi mini giá rẻ,2024-06-10
chất_lượng sản_phẩm tính_năng nổi_bật ok mô_tả vs mô_tả mấy hút sạch_bụi bt sài bền vs giá tiền z mua,2,"Chất lượng sản phẩm:thấy cũng ok
Tính năng nổi bật:ok
Đúng với mô tả:đúng vs mô tả mấy hút mạnh thấy cũng sạch bụi k bt Sài bền k nữa vs giá tiền như z thấy cũng ok mọi người nên mua",5,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.723523606.29951889800?extraParams=%7B%22display_model_id%22%3A226856273723%2C%22model_selection_logic%22%3A3%7D&sp_atk=418ebc77-37e2-4c2b-8b4d-04129102eed7&xptdk=418ebc77-37e2-4c2b-8b4d-04129102eed7,robot hút bụi mini giá rẻ,2025-02-15
"sản_phẩm mô_tả shop , chất_lượng sản_phẩm , giao hàng , đánh_giá cửa_hàng 5 tiếp_tục ủng_hộ sản_phẩm",2,"Sản phẩm giống mô tả của shop, chất lượng sản phẩm rất tốt, giao hàng lại nhanh, đánh giá cho shop 5 sao và sẽ tiếp tục ủng hộ những sản phẩm khác",5,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.723523606.29951889800?extraParams=%7B%22display_model_id%22%3A226856273723%2C%22model_selection_logic%22%3A3%7D&sp_atk=418ebc77-37e2-4c2b-8b4d-04129102eed7&xptdk=418ebc77-37e2-4c2b-8b4d-04129102eed7,robot hút bụi mini giá rẻ,2025-02-13
chất_lượng sản_phẩm mô_tả sản_phẩm mô_tả cửa_hàng giao hàng đóng_gói cẩn_thận mua ủng_hộ cửa_hàng,2,"Chất lượng sản phẩm:chưa dùng
Đúng với mô tả:đúng

Sản phẩm đúng với mô tả chưa dùng chưa biết shop giao hàng nhanh đóng gói cẩn thận ok nếu tốt lần sau lại mua ủng hộ shop",5,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.723523606.29951889800?extraParams=%7B%22display_model_id%22%3A226856273723%2C%22model_selection_logic%22%3A3%7D&sp_atk=418ebc77-37e2-4c2b-8b4d-04129102eed7&xptdk=418ebc77-37e2-4c2b-8b4d-04129102eed7,robot hút bụi mini giá rẻ,2025-04-27
chất_lượng sản_phẩm ok nè mô_tả đầu trải_nghiệm cảm_thấy hài_lòng tính_năng nổi_bật giúp tui đỡ vất_vã . boss tui đầu chạy giởn chụp mắt cười,2,"Chất lượng sản phẩm:ok nè
Đúng với mô tả:lần đầu trải nghiệm cảm thấy hài lòng
Tính năng nổi bật:giúp tui đỡ vất vã hơn.mà con boss tui lần đầu thấy nó cứ chạy theo giởn chụp mắt cười quá😂😂",5,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.723523606.29951889800?extraParams=%7B%22display_model_id%22%3A226856273723%2C%22model_selection_logic%22%3A3%7D&sp_atk=418ebc77-37e2-4c2b-8b4d-04129102eed7&xptdk=418ebc77-37e2-4c2b-8b4d-04129102eed7,robot hút bụi mini giá rẻ,2024-12-02
chất_lượng sản_phẩm ok tính_năng nổi_bật hút bụi mô_tả cửa_hàng giao hàng đầy_đủ đóng_gói hàng cẩn_thận cửa_hàng 5 mua tiếp_tục,2,"Chất lượng sản phẩm:ok
Tính năng nổi bật:hút bụi
Đúng với mô tả:Đúng

Shop giao hàng đầy đủ đóng gói hàng cẩn thận cho shop 5 sao lần sau mua tiếp tục",5,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.723523606.29951889800?extraParams=%7B%22display_model_id%22%3A226856273723%2C%22model_selection_logic%22%3A3%7D&sp_atk=418ebc77-37e2-4c2b-8b4d-04129102eed7&xptdk=418ebc77-37e2-4c2b-8b4d-04129102eed7,robot hút bụi mini giá rẻ,2025-02-20
