clean_comment,label,comment,rating,source_url,keyword,date
"âm_thanh âm_thanh rõ_ràng tiếng ồn_giảm ồn thân_thiện đeo tai giao hàng , đóng_gói ổn . chất_lượng tai , thiết_kế gọn chắc_chắn . kết_nối đơn_giản , chất_âm , tiếng ồn_ổn .",2,"Âm thanh:Âm thanh rõ ràng
Giảm tiếng ồn:Giảm ồn tốt
Thân thiện:Đeo vừa tai

Giao hàng nhanh, đóng gói ổn.
Chất lượng tai nghe tốt, thiết kế nhỏ gọn nhưng chắc chắn. Kết nối đơn giản, chất âm tốt, giảm tiếng ồn ổn.",5,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,tai nghe chống ồn,2025-12-20
"giá mền tai bluetooth chất lương chi_tiết ổn thiết_kế gọn đẹp , âm_thanh ổn , vocal , âm_bass ấm , pin tes liên_tục 3 tiếng 50 maxx âm_lượng tóm_lại ngon tầm giá",2,"Với cái giá khá mền cho tai nghe bluetooth thì chất lương chi tiết ổn thiết kế gọn đẹp, âm thanh ổn,vocal rõ,âm bass mạnh ấm,còn về pin thì sau khi tes liên tục 3 tiếng thì chỉ hết 50% với mức maxx âm lượng
Tóm lại rất ngon trong tầm giá",5,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,tai nghe chống ồn,2025-12-22
chất_lượng sản_phẩm chuẩn chỉmh tính_năng nổi_bật gọn . đẹp tai game nhạc_cực nha quý_vị . ủng_hộ tiếp,2,"Chất lượng sản phẩm:chuẩn không cần chỉmh
Tính năng nổi bật:nhỏ gọn. ĐẸP

Tai nghe này chơi game nghe nhạc cực đã nha quý vị. Sẽ ủng hộ tiếp",5,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,tai nghe chống ồn,2026-01-11
"cửa_hàng giao hàng nhanh_chóng giá_cả hợp_lý ủng_hộ cửa_hàng cửa_hàng 5 , đẹp dễ_thương",2,"Shop giao hàng nhanh chóng giá cả hợp lý sẽ ủng hộ shop lần sau cho shop 5 sao, tại nghe rất đẹp mà nhìn dễ thương nữa",5,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,tai nghe chống ồn,2025-12-17
"hàng . hình , âm_thanh , chống ồn_tốt , thử vấn_đề dịch tiếng thế_nào . nói_chung giá , mua nha mn",2,"Đã nhận được hàng. Giống hình, âm thanh tốt, chống ồn tốt, chưa thử vấn đề dịch tiếng nên chưa biết thế nào. Nói chung giá này vậy là OK rồi, nên mua nha MN",5,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,tai nghe chống ồn,2026-01-06
hình_ảnh đẹp chuẩn mẫu test thử pin phù_hợp vs giá tiền mua,2,"Hình ảnh đẹp
Chuẩn mẫu đặt
Đã test thử khá oki
K biết pin đc lâu ko
Nhưng phù hợp vs giá tiền
Nên mua",5,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,tai nghe chống ồn,2025-12-02
"âm_thanh , bass to tiếng ồn_ổn thân_thiện tai vặn đau mua giá 100 cành , ổn , dược 3-4_tiếng , ngon tầm giá",2,"Âm thanh:nghe rõ ,bass to
Giảm tiếng ồn:ổn
Thân thiện:tai nghe vừa vặn không đau

Mình mua với giá chưa tới 100 cành ,nghe ổn , dược 3-4 tiếng , ngon trong tầm giá",5,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,tai nghe chống ồn,2026-01-05
"âm_thanh cảm_nhận âm_thanh rõ_ràng , sống_động chất_lượng . tiếng ồn_tai tiếng ồn_tốt , giúp gọi điện",2,"Âm thanh:Tôi cảm nhận âm thanh khá rõ ràng, sống động và chất lượng.
Giảm tiếng ồn:Tai nghe giảm tiếng ồn tốt, giúp tôi gọi điện rất rõ",5,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,tai nghe chống ồn,2025-12-10
"âm_thanh cảm_nhận âm_thanh tai rõ_ràng sống_động ... chống ồn_tai tiếng ồn_tốt , gọi điện thân_thiện tai vừa_vặn tai , đau đeo ...",2,"Âm thanh:Tôi cảm nhận âm thanh tai nghe khá rõ ràng và sống động...
Chống ồn:Tai nghe giảm tiếng ồn tốt, gọi điện rất rõ
Thân thiện:Tai nghe vừa vặn với tai, không gây đau khi đeo lâu...",5,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,tai nghe chống ồn,2025-12-02
"sản_phẩm tuyệt_vời , mô_tả . giao hàng nhanh_chóng , shipper thân_thiện dễ_mến đóng_gói cẩn_thận , có_thể tâm_huyết . hộp móp_méo , vận_chuyển .",2,"Sản phẩm tuyệt vời, đúng với mô tả. Giao hàng nhanh chóng, shipper thân thiện dễ mến 
Đóng gói cẩn thận, có thể thấy tâm huyết của người bán. Hộp không bị móp méo, vận chuyển rất tốt.",5,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,tai nghe chống ồn,2026-01-09
