clean_comment,label,comment,rating,source_url,keyword,date
"mua online ưng_ý ! cửa_hàng giao hàng cực , nhân_viên tư_vấn thân_thiện hết_ý . lăn_tăn mạnh_dạn , đảm_bảo thất_vọng",2,"Mua online mà được như này thì quá ưng ý luôn! Shop giao hàng cực nhanh, nhân viên tư vấn thì thân thiện hết ý. Ai còn lăn tăn cứ mạnh dạn đặt nhé, mình đảm bảo sẽ không thất vọng",5,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b,đồng hồ thông minh thể thao,2025-08-07
"ê mua yêu_cầu thấp_thui , giá đòi xịn đi mua đắt chi . mượt , bền tui sài đánh_giá . tui mua canh_góc đt đứng bấm nút đồng_hồ chụp hình_thui ) ) ) gọi điện , máy_tính , nhạc , .. kiểu dơ_tay thui xong r . ngoài_ra chức_năng đếm chân , đo nhịp tim , huyết_áp_okela hong .",2,"ê quá là oki với bạn nào muốn mua với yêu cầu thấp thui, giá như này mà đòi xịn nữa thì thôi ai đi mua loại đắt chi. Mượt, bền k thì tui chưa sài lâu chưa đánh giá được. Tui mua nó chỉ để canh góc trong đt r đứng từ xa bấm nút trong đồng hồ để chụp hình thui=))) Rồi gọi điện, máy tính, nghe nhạc,..kiểu dơ tay lên cái thui là xong việc r. Ngoài ra còn chức năng đếm bước chân, đo nhịp tim, huyết áp okela mà đúng hong.",5,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b,đồng hồ thông minh thể thao,2025-03-18
"hàng , chất_lượng , bt ntn , shipper thân_thiện , giao hàng , cửa_hàng 5",2,"Hàng tốt, chất lượng, dùng về sau chưa bt sẽ ntn, shipper thân thiện, giao hàng nhanh, cho shop 5 sao",5,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b,đồng hồ thông minh thể thao,2025-03-18
chất_lượng sản_phẩm mô_tả ok ủng_hộ cửa_hàng hàng oce mượt_ổn mk có_thể ngày_tháng gọi điện na_chung oce,2,"Chất lượng sản phẩm:tốt
Đúng với mô tả:ok

Ủng hộ shop
Hàng về dùng oce
Khá mượt
Ổn
Em mk rất thích
Có thể xem ngày tháng và gọi điện
Na chung oce",5,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b,đồng hồ thông minh thể thao,2025-03-18
"hàng , mua hợp túi_tiền , mua đeo đẹp , sử_dụng ủng_hộ cửa_hàng 5",2,"Đã nhận được hàng nhé ,nên mua nhé mọi người hợp túi tiền ,mua đeo chơi cũng đẹp ,nhưng chưa biết sử dụng sao nhưng ủng hộ shop 5 sao trước có gì tính sau",5,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b,đồng hồ thông minh thể thao,2025-03-18
"chất_lượng ok tính_năng gọi điện , nhắn_tin , nhạc thiết_kế sang_trọng , thể_thao fine . đồng_hồ đẹp chất",2,"Chất lượng:ok
Tính năng:gọi điện, nhắn tin, nghe nhạc
Thiết kế:sang trọng, thể thao

Ok fine. Đồng hồ đẹp và chất",5,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b,đồng hồ thông minh thể thao,2025-11-11
chất_lượng bt tính_năng chua_sd nen chua_biet đánh_giá 5 phục_vụ d sd,2,"Chất lượng:bt
Tính năng:chua sd nen chua biet

Đánh giá 5***** cho người phục vụ còn chưa d sd nên chưa biết có tốt ko",5,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b,đồng hồ thông minh thể thao,2025-11-27
"hài_lòng , sản_phẩm đẹp , dây đẹp , tính_năng .",2,"hài lòng, sp đẹp, dây đẹp, nhiều tính năng.",5,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b,đồng hồ thông minh thể thao,2025-03-18
"đồng_hồ đeo sang_trọng , chức_năng , giá_cả hợp_lí , đeo chắc_chắn",2,"Đồng hồ đeo tay rất sang trọng , nhiều chức năng , giá cả hợp lí , đeo rất chắc chắn",5,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b,đồng hồ thông minh thể thao,2025-05-24
p / s hình_ảnh video tính_chất xu 1 . cửa_hàng tư_vấn mua chu_đáo 2 . test ý_kiến nhìu,2,"P/s : Hình ảnh và video chỉ mang tính chất nhận xu

1. Shop tư vấn trước và sau mua rất chu đáo
2. Nay mới nhận và đang test nên chưa có ý kiến nhìu",5,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b,đồng hồ thông minh thể thao,2025-11-06
