clean_comment,label,comment,rating,source_url,keyword,date
"mô_tả good cửa_hàng đóng_gói sản_phẩm siêu_đẹp , miếng dán giá rẻ vô_đối mà_lại siêu siêu_bền , chục miếng dán v",2,"Đúng với mô tả:good

Shop đóng gói sp siêu đẹp, miếng dán giá rẻ vô đối mà lại còn siêu siêu bền, làm chục miếng dán cả năm không hết :v",5,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-PPF-b%E1%BA%A3o-v%E1%BB%87-m%C3%A0n-h%C3%ACnh-d%C3%A0nh-cho-%C4%90%E1%BB%93ng-H%E1%BB%93-Apple-Watch-Series-10-38-40-41-42-44-45-46-47-49-mm-i.130641691.9267115842?extraParams=%7B%22display_model_id%22%3A220057818354%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb1ccec4-226c-4330-80e7-f3f0112e00a3&xptdk=fb1ccec4-226c-4330-80e7-f3f0112e00a3,đồng hồ thông minh thể thao 99k,2023-11-20
"hàng nha shop , miếng dán đầy_đủ dán lắm , ôm đồng_hồ , tai vấn_đề . ưng cửa_hàng 5",2,"Hàng ok nha shop, miếng dán đầy đủ dễ dán lắm, ôm đồng hồ luôn, tai nghe k có vấn đề gì cả. Mình khá ưng cho shop 5 ⭐️⭐️⭐️⭐️⭐️",5,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-PPF-b%E1%BA%A3o-v%E1%BB%87-m%C3%A0n-h%C3%ACnh-d%C3%A0nh-cho-%C4%90%E1%BB%93ng-H%E1%BB%93-Apple-Watch-Series-10-38-40-41-42-44-45-46-47-49-mm-i.130641691.9267115842?extraParams=%7B%22display_model_id%22%3A220057818354%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb1ccec4-226c-4330-80e7-f3f0112e00a3&xptdk=fb1ccec4-226c-4330-80e7-f3f0112e00a3,đồng hồ thông minh thể thao 99k,2023-04-12
mô_tả hình chất_lượng sản_phẩm sản_phẩm chống xước sản_phẩm đẹp phù_hợp dòng,2,"Đúng với mô tả:giống như hình
Chất lượng sản phẩm:sản phẩm dùng rất tốt và có chống xước tốt

Sản phẩm dùng rất tốt rất đẹp và phù hợp cho các dòng khác 🥰🥰🥰",5,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-PPF-b%E1%BA%A3o-v%E1%BB%87-m%C3%A0n-h%C3%ACnh-d%C3%A0nh-cho-%C4%90%E1%BB%93ng-H%E1%BB%93-Apple-Watch-Series-10-38-40-41-42-44-45-46-47-49-mm-i.130641691.9267115842?extraParams=%7B%22display_model_id%22%3A220057818354%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb1ccec4-226c-4330-80e7-f3f0112e00a3&xptdk=fb1ccec4-226c-4330-80e7-f3f0112e00a3,đồng hồ thông minh thể thao 99k,2023-09-22
chất_lượng sản_phẩm good mô_tả mô_tả dán lỗi màn điện_thoại dán mặt đồng_hồ xịn xò . miếng dán mặt kính . ủng_hộ,2,"Chất lượng sản phẩm:good
Đúng với mô tả:đúng với mô tả

Sau khi dán lỗi màn điện thoại đã dán mặt đồng hồ xịn xò hơn. Miếng dán trong như mặt kính.
Sẽ ủng hộ lần sau",5,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-PPF-b%E1%BA%A3o-v%E1%BB%87-m%C3%A0n-h%C3%ACnh-d%C3%A0nh-cho-%C4%90%E1%BB%93ng-H%E1%BB%93-Apple-Watch-Series-10-38-40-41-42-44-45-46-47-49-mm-i.130641691.9267115842?extraParams=%7B%22display_model_id%22%3A220057818354%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb1ccec4-226c-4330-80e7-f3f0112e00a3&xptdk=fb1ccec4-226c-4330-80e7-f3f0112e00a3,đồng hồ thông minh thể thao 99k,2022-11-12
mô_tả chất_lượng sản_phẩm ok giá rẻ dán full màn màn 40 mh dán 41 . video hướng_dẫn cụ_thể chất_lượng phù_hợp giá tiền .....,2,"Đúng với mô tả:đúng
Chất lượng sản phẩm:ok

Giá rẻ dán full màn màn 40 nhưng mh dán 41 thấy ok hơn. Có video hướng dẫn cụ thể chất lượng phù hợp giá tiền.....",5,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-PPF-b%E1%BA%A3o-v%E1%BB%87-m%C3%A0n-h%C3%ACnh-d%C3%A0nh-cho-%C4%90%E1%BB%93ng-H%E1%BB%93-Apple-Watch-Series-10-38-40-41-42-44-45-46-47-49-mm-i.130641691.9267115842?extraParams=%7B%22display_model_id%22%3A220057818354%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb1ccec4-226c-4330-80e7-f3f0112e00a3&xptdk=fb1ccec4-226c-4330-80e7-f3f0112e00a3,đồng hồ thông minh thể thao 99k,2024-10-18
"chất_lượng sản_phẩm tot mô_tả_dung sản_phẩm quảng_cáo hình_ảnh mô_tả shop , chất_lượng oki , giá_thành rẻ mua mn nhea !",2,"Chất lượng sản phẩm:tot
Đúng với mô tả:dung

Sản phẩm đúng quảng cáo hình ảnh mô tả của shop, chất lượng oki, giá thành rẻ nên mua mn nhea!",5,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-PPF-b%E1%BA%A3o-v%E1%BB%87-m%C3%A0n-h%C3%ACnh-d%C3%A0nh-cho-%C4%90%E1%BB%93ng-H%E1%BB%93-Apple-Watch-Series-10-38-40-41-42-44-45-46-47-49-mm-i.130641691.9267115842?extraParams=%7B%22display_model_id%22%3A220057818354%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb1ccec4-226c-4330-80e7-f3f0112e00a3&xptdk=fb1ccec4-226c-4330-80e7-f3f0112e00a3,đồng hồ thông minh thể thao 99k,2023-12-24
"shopee hàng đẹp , mô_tả , đóng_gói cẩn_thận . giao , size màu . phù_hợp giá tiền , chất_liệu ok .",2,"Shopee

Hàng rất đẹp , rất giống mô tả , đóng gói cẩn thận. Giao nhanh , đúng size đúng màu. Phù hợp với giá tiền, chất liệu ok.",5,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-PPF-b%E1%BA%A3o-v%E1%BB%87-m%C3%A0n-h%C3%ACnh-d%C3%A0nh-cho-%C4%90%E1%BB%93ng-H%E1%BB%93-Apple-Watch-Series-10-38-40-41-42-44-45-46-47-49-mm-i.130641691.9267115842?extraParams=%7B%22display_model_id%22%3A220057818354%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb1ccec4-226c-4330-80e7-f3f0112e00a3&xptdk=fb1ccec4-226c-4330-80e7-f3f0112e00a3,đồng hồ thông minh thể thao 99k,2024-12-14
"chất_lượng sản_phẩm ổn mô_tả giá sản_phẩm phù_hợp , giá như_vậy chê . vote cửa_hàng 5 , mua nha",2,"Chất lượng sản phẩm:ổn
Đúng với mô tả:đúng

Giá sản phẩm phù hợp, với giá như vậy thì không có gì để chê. Vote shop 5 sao, mọi người nên mua nha ^^",5,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-PPF-b%E1%BA%A3o-v%E1%BB%87-m%C3%A0n-h%C3%ACnh-d%C3%A0nh-cho-%C4%90%E1%BB%93ng-H%E1%BB%93-Apple-Watch-Series-10-38-40-41-42-44-45-46-47-49-mm-i.130641691.9267115842?extraParams=%7B%22display_model_id%22%3A220057818354%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb1ccec4-226c-4330-80e7-f3f0112e00a3&xptdk=fb1ccec4-226c-4330-80e7-f3f0112e00a3,đồng hồ thông minh thể thao 99k,2024-01-10
"mô_tả chất_lượng sản_phẩm miếng dãn che vết xước mặt đồng_hồ , hình_ảnh tính_chất xu . giao hàng đóng_gói cẩn",2,"Đúng với mô tả:đúng
Chất lượng sản phẩm:tốt

Miếng dãn rất vừa và che được vết xước của mặt đồng hồ, hình ảnh mang tính chất nhận xu. Giao hàng nhanh đóng gói cẩn",5,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-PPF-b%E1%BA%A3o-v%E1%BB%87-m%C3%A0n-h%C3%ACnh-d%C3%A0nh-cho-%C4%90%E1%BB%93ng-H%E1%BB%93-Apple-Watch-Series-10-38-40-41-42-44-45-46-47-49-mm-i.130641691.9267115842?extraParams=%7B%22display_model_id%22%3A220057818354%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb1ccec4-226c-4330-80e7-f3f0112e00a3&xptdk=fb1ccec4-226c-4330-80e7-f3f0112e00a3,đồng hồ thông minh thể thao 99k,2024-04-27
"mua linh_tinh cửa_hàng giao món ... giá rẻ cửa_hàng , giao hàng cực , tư_vấn nhiệt_tình .. ng mua gái giao dây qấn màu hường mê chết ... nói_chung chê .. 10",2,"Mua đủ thứ linh tinh nhưng shop giao k thiếu món nào...giá lại rẻ hơn những shop khác, giao hàng cực nhanh, tư vấn nhiệt tình..biết ng mua con gái cái giao dây qấn màu hường làm mê muốn chết... nói chung ko có gì để chê..10*",5,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-PPF-b%E1%BA%A3o-v%E1%BB%87-m%C3%A0n-h%C3%ACnh-d%C3%A0nh-cho-%C4%90%E1%BB%93ng-H%E1%BB%93-Apple-Watch-Series-10-38-40-41-42-44-45-46-47-49-mm-i.130641691.9267115842?extraParams=%7B%22display_model_id%22%3A220057818354%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb1ccec4-226c-4330-80e7-f3f0112e00a3&xptdk=fb1ccec4-226c-4330-80e7-f3f0112e00a3,đồng hồ thông minh thể thao 99k,2021-11-15
"mô_tả mẫu chất_lượng sản_phẩm cửa_hàng giao , giá rẻ xài mua lợi quan_tâm , giá rẻ",2,"Đúng với mô tả:đúng mẫu
Chất lượng sản phẩm:tỐt

Shop giao nhanh , giá rẻ nên xài vài tháng bỏ mua cái khác vẫn lợi nên ko quan tâm , chỉ giá rẻ thôi",5,https://shopee.vn/Mi%E1%BA%BFng-d%C3%A1n-PPF-b%E1%BA%A3o-v%E1%BB%87-m%C3%A0n-h%C3%ACnh-d%C3%A0nh-cho-%C4%90%E1%BB%93ng-H%E1%BB%93-Apple-Watch-Series-10-38-40-41-42-44-45-46-47-49-mm-i.130641691.9267115842?extraParams=%7B%22display_model_id%22%3A220057818354%2C%22model_selection_logic%22%3A3%7D&sp_atk=fb1ccec4-226c-4330-80e7-f3f0112e00a3&xptdk=fb1ccec4-226c-4330-80e7-f3f0112e00a3,đồng hồ thông minh thể thao 99k,2022-07-30
