keyword,source_url,rating,date,variant,comment,username,timestamp
bàn phím cơ custom,https://shopee.vn/B%C3%A0n-ph%C3%ADm-c%C6%A1-c%C3%B3-d%C3%A2y-Q82-V9-red-switch-hotswap-3pin-m%E1%BA%A1ch-ng%C6%B0%E1%BB%A3c-nhi%C3%AAuch%E1%BA%BF-%C4%91%E1%BB%99-led-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-ch%C6%A1i-game-l%C3%A0m-vi%E1%BB%87c-v%C4%83n-ph%C3%B2ng-i.495383423.24462090513?extraParams=%7B%22display_model_id%22%3A248165283519%2C%22model_selection_logic%22%3A3%7D&sp_atk=439c476d-1672-40a3-a4e1-12439a2d9f1f&xptdk=439c476d-1672-40a3-a4e1-12439a2d9f1f,5,2025-05-26,TK61 Đen Trắng blue,"Tính năng nổi bật:blue swich, led RGB rất đẹp

Phím bấm rất sướng, âm to, kết nối ổn định, nhỏ gọn (hình ảnh mang tính minh họa)",liuking97,1748215762
bàn phím cơ custom,https://shopee.vn/B%C3%A0n-ph%C3%ADm-c%C6%A1-c%C3%B3-d%C3%A2y-Q82-V9-red-switch-hotswap-3pin-m%E1%BA%A1ch-ng%C6%B0%E1%BB%A3c-nhi%C3%AAuch%E1%BA%BF-%C4%91%E1%BB%99-led-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-ch%C6%A1i-game-l%C3%A0m-vi%E1%BB%87c-v%C4%83n-ph%C3%B2ng-i.495383423.24462090513?extraParams=%7B%22display_model_id%22%3A248165283519%2C%22model_selection_logic%22%3A3%7D&sp_atk=439c476d-1672-40a3-a4e1-12439a2d9f1f&xptdk=439c476d-1672-40a3-a4e1-12439a2d9f1f,5,2024-11-13,,"Chất lượng sản phẩm:rất tốt

Khá là êm, tiếng nghe khá ổn
Cskh tốt, xử lý giải đáp rất tốt
Nói chung là rất ưng ,lần sau sẽ ủng hộ thêm cho shop ạ",minhon995,1731461950
bàn phím cơ custom,https://shopee.vn/B%C3%A0n-ph%C3%ADm-c%C6%A1-c%C3%B3-d%C3%A2y-Q82-V9-red-switch-hotswap-3pin-m%E1%BA%A1ch-ng%C6%B0%E1%BB%A3c-nhi%C3%AAuch%E1%BA%BF-%C4%91%E1%BB%99-led-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-ch%C6%A1i-game-l%C3%A0m-vi%E1%BB%87c-v%C4%83n-ph%C3%B2ng-i.495383423.24462090513?extraParams=%7B%22display_model_id%22%3A248165283519%2C%22model_selection_logic%22%3A3%7D&sp_atk=439c476d-1672-40a3-a4e1-12439a2d9f1f&xptdk=439c476d-1672-40a3-a4e1-12439a2d9f1f,5,2025-06-09,61 phím cơ trục xanh,"Chất lượng sản phẩm:tốt, chuẩn

Đúng với mô tả, có chỉnh được nhiều chế độ đèn nháy, bàn phím khá gọn, chịu khó xài tổ hợp phím xíu nhe, có cả bảng tổ hợp phím kém theo, shop chu đáo",n*****w,1749446049
bàn phím cơ custom,https://shopee.vn/B%C3%A0n-ph%C3%ADm-c%C6%A1-c%C3%B3-d%C3%A2y-Q82-V9-red-switch-hotswap-3pin-m%E1%BA%A1ch-ng%C6%B0%E1%BB%A3c-nhi%C3%AAuch%E1%BA%BF-%C4%91%E1%BB%99-led-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-ch%C6%A1i-game-l%C3%A0m-vi%E1%BB%87c-v%C4%83n-ph%C3%B2ng-i.495383423.24462090513?extraParams=%7B%22display_model_id%22%3A248165283519%2C%22model_selection_logic%22%3A3%7D&sp_atk=439c476d-1672-40a3-a4e1-12439a2d9f1f&xptdk=439c476d-1672-40a3-a4e1-12439a2d9f1f,5,2025-07-11,k550 đen trắng V9,"Tính năng nổi bật:bàn phím nhạy, bấm êm

Shop giao hàng đúng mẫu, đúng màu, đèn led sáng đều, phím bấm êm, hi vọng sẽ bền theo thời gian",il0owfvbmt,1752249576
bàn phím cơ custom,https://shopee.vn/B%C3%A0n-ph%C3%ADm-c%C6%A1-c%C3%B3-d%C3%A2y-Q82-V9-red-switch-hotswap-3pin-m%E1%BA%A1ch-ng%C6%B0%E1%BB%A3c-nhi%C3%AAuch%E1%BA%BF-%C4%91%E1%BB%99-led-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-ch%C6%A1i-game-l%C3%A0m-vi%E1%BB%87c-v%C4%83n-ph%C3%B2ng-i.495383423.24462090513?extraParams=%7B%22display_model_id%22%3A248165283519%2C%22model_selection_logic%22%3A3%7D&sp_atk=439c476d-1672-40a3-a4e1-12439a2d9f1f&xptdk=439c476d-1672-40a3-a4e1-12439a2d9f1f,5,2024-10-11,81 phím cơ trục xanh,"Tính năng nổi bật:Tiếng kêu to
Chất lượng sản phẩm:Đẹp chất lượng

Giá rẻ vcl hơn 200 là có bàn phím cơ xài ngon vcl phù hợp với người nghèo như tui !!!",ludwiggrimm366,1728656003
bàn phím cơ custom,https://shopee.vn/B%C3%A0n-ph%C3%ADm-c%C6%A1-c%C3%B3-d%C3%A2y-Q82-V9-red-switch-hotswap-3pin-m%E1%BA%A1ch-ng%C6%B0%E1%BB%A3c-nhi%C3%AAuch%E1%BA%BF-%C4%91%E1%BB%99-led-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-ch%C6%A1i-game-l%C3%A0m-vi%E1%BB%87c-v%C4%83n-ph%C3%B2ng-i.495383423.24462090513?extraParams=%7B%22display_model_id%22%3A248165283519%2C%22model_selection_logic%22%3A3%7D&sp_atk=439c476d-1672-40a3-a4e1-12439a2d9f1f&xptdk=439c476d-1672-40a3-a4e1-12439a2d9f1f,5,2024-08-01,61 phím cơ trục xanh,"Chất lượng sản phẩm:oke trong tầm giá
Tính năng nổi bật:kêu sướng tai

Switch kêu to, 250k khá xứng đáng với giá, shop hỗ trợ nhiệt tình. Vote 5 sao💯",duckhiem2008,1722487939
bàn phím cơ custom,https://shopee.vn/B%C3%A0n-ph%C3%ADm-c%C6%A1-c%C3%B3-d%C3%A2y-Q82-V9-red-switch-hotswap-3pin-m%E1%BA%A1ch-ng%C6%B0%E1%BB%A3c-nhi%C3%AAuch%E1%BA%BF-%C4%91%E1%BB%99-led-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-ch%C6%A1i-game-l%C3%A0m-vi%E1%BB%87c-v%C4%83n-ph%C3%B2ng-i.495383423.24462090513?extraParams=%7B%22display_model_id%22%3A248165283519%2C%22model_selection_logic%22%3A3%7D&sp_atk=439c476d-1672-40a3-a4e1-12439a2d9f1f&xptdk=439c476d-1672-40a3-a4e1-12439a2d9f1f,5,2025-01-13,,"Tính năng nổi bật:nhiều chế độ led (cầu vòng)
Chất lượng sản phẩm:tốt full nhựa

Phím ấn rất êm tiếng red switch ngon , shop tư vấn trả lời câu hỏi nhiệt , nên mua ở shop này",nghtn196,1736745718
bàn phím cơ custom,https://shopee.vn/B%C3%A0n-ph%C3%ADm-c%C6%A1-c%C3%B3-d%C3%A2y-Q82-V9-red-switch-hotswap-3pin-m%E1%BA%A1ch-ng%C6%B0%E1%BB%A3c-nhi%C3%AAuch%E1%BA%BF-%C4%91%E1%BB%99-led-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-ch%C6%A1i-game-l%C3%A0m-vi%E1%BB%87c-v%C4%83n-ph%C3%B2ng-i.495383423.24462090513?extraParams=%7B%22display_model_id%22%3A248165283519%2C%22model_selection_logic%22%3A3%7D&sp_atk=439c476d-1672-40a3-a4e1-12439a2d9f1f&xptdk=439c476d-1672-40a3-a4e1-12439a2d9f1f,5,2025-02-27,TĐ HK61 trục đỏ,"Chất lượng sản phẩm:Tốt
Tính năng nổi bật:Có mode Bluetooth

Đg khá sốc vì chì vs 240k đc quả 3 mode kết nối còn chất lượng bàn phím khá tốt",tunngoen,1740633716
bàn phím cơ custom,https://shopee.vn/B%C3%A0n-ph%C3%ADm-c%C6%A1-c%C3%B3-d%C3%A2y-Q82-V9-red-switch-hotswap-3pin-m%E1%BA%A1ch-ng%C6%B0%E1%BB%A3c-nhi%C3%AAuch%E1%BA%BF-%C4%91%E1%BB%99-led-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-ch%C6%A1i-game-l%C3%A0m-vi%E1%BB%87c-v%C4%83n-ph%C3%B2ng-i.495383423.24462090513?extraParams=%7B%22display_model_id%22%3A248165283519%2C%22model_selection_logic%22%3A3%7D&sp_atk=439c476d-1672-40a3-a4e1-12439a2d9f1f&xptdk=439c476d-1672-40a3-a4e1-12439a2d9f1f,5,2025-10-01,Trắng HT Q82 V9,"Chất lượng sản phẩm:1000000/10
Tính năng nổi bật:đèn led rất đẹp, có thể điều chỉnh độ sáng

Không có gì phải chê, 10 điểm mn ạ phím đẹp ko ồn. Nên mua nha mnnnn",itsandypascal,1759329937
bàn phím cơ custom,https://shopee.vn/B%C3%A0n-ph%C3%ADm-c%C6%A1-c%C3%B3-d%C3%A2y-Q82-V9-red-switch-hotswap-3pin-m%E1%BA%A1ch-ng%C6%B0%E1%BB%A3c-nhi%C3%AAuch%E1%BA%BF-%C4%91%E1%BB%99-led-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-ch%C6%A1i-game-l%C3%A0m-vi%E1%BB%87c-v%C4%83n-ph%C3%B2ng-i.495383423.24462090513?extraParams=%7B%22display_model_id%22%3A248165283519%2C%22model_selection_logic%22%3A3%7D&sp_atk=439c476d-1672-40a3-a4e1-12439a2d9f1f&xptdk=439c476d-1672-40a3-a4e1-12439a2d9f1f,5,2025-03-09,61 phím cơ trục xanh,"Tính năng nổi bật:âm thanh nghe ok, có đèn led nhìu chế độ
Chất lượng sản phẩm:ok

Bàn phím nhỏ gọn, đèn nhìu chế độ đẹp lắm, âm thanh nghe cực kì sướng, kết nối bằng cổng usb, dây kết nối khá dài",ngochanhbebong,1741508241
