keyword,source_url,rating,date,variant,comment,username,timestamp
camera wifi ngoài trời,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,5,2025-06-23,"K2MP-3MP,thẻ 64GB","Chất lượng sản phẩm:tot

Giao hàng cực nhanh, trời mưa tưởng hôm sau mới giao mà shop đã giao ngay trong buổi tối, vote 5* luôn",wofenglin,1750649533
camera wifi ngoài trời,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,5,2025-10-25,"K2MP-3MP,Camera","Camera lý tưởng cho gia đình, văn phòng hoặc các không gian khác cần giám sát video đáng tin cậy. Camera dễ dàng lắp đặt nhờ giá đỡ tích hợp và hỗ trợ kết nối Wi-Fi không dây.",funnytime139,1761402522
camera wifi ngoài trời,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,5,2025-05-28,"K2MP-3MP,Camera","Tính năng nổi bật:mới
Chất lượng sản phẩm:tốt

Mình đã nhận đc sản phẩm của shop giao rùi. Sản phẩm đúng như mô tả. Chất lượng sản phẩm tốt. Camenra cài đặt nhanh chóng. Chạy mượt mà. Okok. Mình rất hài lòng. Shop nhiệt tình uy tín lắm. Giao sản phẩm cực nhanh. Mình sẽ mua tiếp sản phẩm của shop. Mg có nhu cầu yên tâm mua nhé. Lười chụp hình ảnh mang tính chất minh họa",khngvm112,1748413908
camera wifi ngoài trời,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,5,2025-03-05,"K2MP-3MP,Thẻ 32GB","Đã nhận được hàng, test hàng thấy ok.
Dùng thời gian xem thế nào. 
Đóng gói cẩn thận, giao hàng nhanh.
Hàng nguyên hộp. Tuyệt vời.
Ủng hộ shop, cho shop 5 sao",cyqlrvycz_,1741150637
camera wifi ngoài trời,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,5,2025-10-13,"K2MP-3MP,thẻ 64GB","Chất lượng sản phẩm:tot
Tính năng nổi bật:quay phim chụp ảnh

Rất tốt. Đúng như quảng cáo. Quay nét như sony. Nhỏ gọn lắp đâu cũng đk. Shop đóng gói chắc chắn. Hộp nguyên đai nguyên kiện. Ko móp méo. Good. Sẽ ủng hộ shop lần sau.",conghuynh892,1760356032
camera wifi ngoài trời,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,5,2025-02-15,"K2MP-3MP,Camera","Chất lượng sản phẩm:ok
Tính năng nổi bật:ok

Loa to, dây sạc dài, shop phản hồi nhanh, hình ảnh so vs tapo hay ezvid thấy hơi bệt 1 chút nhưng k có vấn đề gì",vuorder2,1739600462
camera wifi ngoài trời,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,5,2025-06-19,"K2MP-5MP,thẻ 64GB","* Chất lượng sản phẩm rất tốt, đóng gói cẩn thận, nhận hàng nhanh chóng.
* Chất lượng sản phẩm không làm thất vọng, giá cả hợp lý. Đánh giá 5 sao.
* Chất lượng sản phẩm ổn định, giá cả phải chăng. Tôi rất hài lòng.
* Chất lượng sản phẩm tuyệt vời, giá thành hợp lý. Đã giới thiệu cho bạn bè.
* Chất lượng sản phẩm vượt xa giá trị của nó. Sẽ mua lại ở Shopee.
* Dịch vụ giao hàng nhanh, sản phẩm chất lượng. Hài lòng 100%.",v*****1,1750266281
camera wifi ngoài trời,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,5,2025-04-25,"K2MP-3MP,Camera",Sản phẩm đáng mua nhé! Hàng chính hãng dùng tốt. Ủng hộ shop dài dài. Giá rẻ hơn mua ngoài nhiều. Cho 5 sao luôn,huakhachuy909,1745577286
camera wifi ngoài trời,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,5,2025-06-21,"K2MP-5MP,thẻ 64GB","cam hoạt động ổn định, mình thik imou dễ điều khiển app hoạt động ít lỗi",anhkk75,1750472535
camera wifi ngoài trời,https://shopee.vn/Camera-wifi-Camera-IMOU-Ranger-mini-K2MP-3K-2K-xoay-360-%C4%91%E1%BB%99-%C4%91%C3%A0m-tho%E1%BA%A1i-2-chi%E1%BB%81u-AI-ch%E1%BA%BF-%C4%91%E1%BB%99-m%C3%A0u-ban-%C4%91%C3%AAm-t%C3%ADch-h%E1%BB%A3p-ch%C3%A2n-%C4%91%E1%BA%BF-i.62711571.29869550627?extraParams=%7B%22display_model_id%22%3A69494279645%2C%22model_selection_logic%22%3A3%7D&sp_atk=7b371e9c-e6e1-4460-829d-928c6098591e&xptdk=7b371e9c-e6e1-4460-829d-928c6098591e,5,2025-10-16,"K2MP-5MP,Camera","Tính năng nổi bật:ghi hình, theo dõi chuyển động, cam bao nét
Chất lượng sản phẩm:chất lượng tốt, bao bọc kỹ",hanamoonhana,1760588134
