username,rating,comment,variant,timestamp,date,keyword,source_url
u*****0,5,Chất lượng sản phẩm rất tuyệt vời nha    Đóng gói sản phẩm rất đẹp và chắc chắn lắm     Shop phục vụ rất tốt nhé tư vấn nhiệt tình lắm      Giao hàng nhanh nha :>>>,,1719668807,2024-06-29,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
s*****3,5,"Đầy đủ phụ kiện. Sau khi sử dụng gần 1 tháng,hôm nay vao đánh giá , chất lượng sp rất tốt : bền , rẻ, đẹp. Ship nhanh trong 2 ngày và đóng gói rất kỹ. đáng 5 sao. Thanhs và chúc shop thành công.",,1719288736,2024-06-25,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
s*****9,5,"Máy chạy khỏe, lực hút mạnh, hút sạch cả những bụi bẩn nhỏ, nhà mình sàn gỗ có những khe nhưng máy vẫn hút được bụi, chống rơi tốt, điều khiển qua app điện thoại, hộp đựng rác to Biết tự chuyển hướng khi gặp chướng ngại vật, dễ sử dụng Đóng gói kỹ lưỡng và giao hàng nhanh",,1719638400,2024-06-29,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
u*****0,5,"Đầy đủ phụ kiện. Sau khi sử dụng gần 1 tháng,hôm nay vao đánh giá , chất lượng sp rất tốt : bền , rẻ, đẹp. Ship nhanh trong 2 ngày và đóng gói rất kỹ. đáng 5 sao. Thanhs và chúc shop thành công.",,1719638338,2024-06-29,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
n*****8,5,"Máy chạy hút mạnh, gọn nhẹ dễ sử dụng, vệ sinh máy và không tón diện tích trong nhà, giao hàng nhanh, mới đặt hôm trc 2 ngày sau đã có mặt tại nhà. rất hài lòng",,1719288781,2024-06-25,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
s*****9,5,"máy hút khỏe và sạch.chạy êm lau sàn tương đối thôi chứ k thể bằng người lau nha.giá so với sản phẩm là rẻ.nói chung máy chất lượng nên mua ạ, ảnh mang tính chất nhận xu nhé shop",,1719288920,2024-06-25,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
z*****3,5,"Đọc review thấy shop bán máy này rất chạy nên nghe theo và mua thì quả thật, Giao hàng rất nhanh, sản phẩm đúng như mô tả, lực hút rất khỏe, hút đc bụi to và nhỏ, không bị ồn và nặng như những máy khác, mầu sắc đẹp. Sẽ ủng hộ shop nhiều hơn nữa.",,1719288830,2024-06-25,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
tpaominhloanly754,5,"Nhận hàng thì thấy ok, shop chuẩn bị và giao hàng nhanh nên mình ưng ý. Sau khi dùng sẽ quay lại đánh giá tiếp cho khách quan. Nhưng trước mắt về cách đóng gói, chăm sóc khách hàng là ưng ý rồi ạ, cho shop 5sao nhé",1 sp,1741017867,2025-03-03,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
mylcphapphui,5,"Nhận hàng thì thấy ok, shop chuẩn bị và giao hàng nhanh nên mình ưng ý. Sau khi dùng sẽ quay lại đánh giá tiếp cho khách quan. Nhưng trước mắt về cách đóng gói, chăm sóc khách hàng là ưng ý rồi ạ, cho shop 5sao nhé",1 sp,1741018242,2025-03-03,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
lcnungoquang,5,"Sản phẩm tuyệt vời hơn mong đợi, dùng rất tốt. Phục vụ chăm sóc khách hàng rất nhanh và nhiệt tình. Đánh giá shop 5 sao nha.",,1719753627,2024-06-30,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
