keyword,source_url,rating,date,variant,comment,username,timestamp
robot hút bụi mini,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.1364582676.29073666239?extraParams=%7B%22display_model_id%22%3A119379651768%2C%22model_selection_logic%22%3A3%7D&sp_atk=e98f1826-9491-43a0-968d-d1239366291d&xptdk=e98f1826-9491-43a0-968d-d1239366291d,1,2025-07-22,Robot HÚT BỤi,Mới nhận hàng hôm qua mình cho chạy thử được 2 lần. Không hiểu sao tự dưng k chạy được nữa còn rụng 1 bên chổi. Trải nghiệm từ vui sang thất bại. 😫😫,huyenkhanh611,1753149621
robot hút bụi mini,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.1364582676.29073666239?extraParams=%7B%22display_model_id%22%3A119379651768%2C%22model_selection_logic%22%3A3%7D&sp_atk=e98f1826-9491-43a0-968d-d1239366291d&xptdk=e98f1826-9491-43a0-968d-d1239366291d,1,2025-11-10,Robot HÚT BỤi,"Không có tờ hướng dẫn , ko có chỗ sạc.
Ko thể sử dụng được. 
Giao hàng nhanh.",thuoctayminhhien,1762781585
robot hút bụi mini,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.1364582676.29073666239?extraParams=%7B%22display_model_id%22%3A119379651768%2C%22model_selection_logic%22%3A3%7D&sp_atk=e98f1826-9491-43a0-968d-d1239366291d&xptdk=e98f1826-9491-43a0-968d-d1239366291d,1,2025-02-08,Robot HÚT BỤi,"Bên quay mạnh, 1 bên quay chậm rì,nhìu khi đứng trân luôn,nt shop không tl",nhanthanhaasa,1739026740
robot hút bụi mini,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.1364582676.29073666239?extraParams=%7B%22display_model_id%22%3A119379651768%2C%22model_selection_logic%22%3A3%7D&sp_atk=e98f1826-9491-43a0-968d-d1239366291d&xptdk=e98f1826-9491-43a0-968d-d1239366291d,2,2025-11-17,Robot HÚT BỤi,"Tính năng nổi bật:cũng đc
Đúng với mô tả:đứng
Chất lượng sản phẩm:ôn

Mua về xài được mấy hôm , rụng càng hư luôn , sạc xài được có xíu là hết pin , rất yếu , nghe shop nói bảo hành sửa chửa mà đợi Hoài k thấy , máy có 1 trăm mấy thôi mua về trải nghiệm vài bửa bỏ cũng được",nguyennhuha,1763376699
robot hút bụi mini,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.1364582676.29073666239?extraParams=%7B%22display_model_id%22%3A119379651768%2C%22model_selection_logic%22%3A3%7D&sp_atk=e98f1826-9491-43a0-968d-d1239366291d&xptdk=e98f1826-9491-43a0-968d-d1239366291d,1,2025-02-02,Robot HÚT BỤi,"Tính năng nổi bật:hút
Chất lượng sản phẩm:mọi người ơi đừng lên mua 2 đến 3 ngày là hỏng mọi người ạ",hanhdo103,1738466353
robot hút bụi mini,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.1364582676.29073666239?extraParams=%7B%22display_model_id%22%3A119379651768%2C%22model_selection_logic%22%3A3%7D&sp_atk=e98f1826-9491-43a0-968d-d1239366291d&xptdk=e98f1826-9491-43a0-968d-d1239366291d,1,2025-08-09,Robot HÚT BỤi,Mua dùng chưa nổi 5p là đã k dùng dc nữa rồi,d6zsh2r0ge,1754750989
robot hút bụi mini,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.1364582676.29073666239?extraParams=%7B%22display_model_id%22%3A119379651768%2C%22model_selection_logic%22%3A3%7D&sp_atk=e98f1826-9491-43a0-968d-d1239366291d&xptdk=e98f1826-9491-43a0-968d-d1239366291d,1,2025-01-25,Robot HÚT BỤi,"Hàng dở tệ.
Hơn 100k thì xài dc đúng 1 tuần.
Pin cực yếu. Không đúng quảng cáo.
D. M shop",nsgxhr80l0,1737817577
robot hút bụi mini,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.1364582676.29073666239?extraParams=%7B%22display_model_id%22%3A119379651768%2C%22model_selection_logic%22%3A3%7D&sp_atk=e98f1826-9491-43a0-968d-d1239366291d&xptdk=e98f1826-9491-43a0-968d-d1239366291d,2,2025-01-23,Robot HÚT BỤi,"Chất lượng sản phẩm:chưa nạp đủ pin. nên chưa chạy thử. không mở được nắp máy nên nếu máy chạy có bụi thì khô thể lấy bụi ra được.
Đúng với mô tả:không đúng mô tả.

Cách mở nắp hộp như thế nào. Nó rất chặt.",kieunguyen346,1737615544
robot hút bụi mini,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.1364582676.29073666239?extraParams=%7B%22display_model_id%22%3A119379651768%2C%22model_selection_logic%22%3A3%7D&sp_atk=e98f1826-9491-43a0-968d-d1239366291d&xptdk=e98f1826-9491-43a0-968d-d1239366291d,2,2025-03-04,Robot HÚT BỤi,Quét được 3 bữa hư rồi quá tệ không nên mua,trannga83,1741088380
robot hút bụi mini,https://shopee.vn/Robot-Smart-Gadgets-qu%C3%A9t-nh%C3%A0-h%C3%BAt-b%E1%BB%A5i-lau-nh%C3%A0-th%C3%B4ng-minh-M%C3%A1y-H%C3%BAt-B%E1%BB%A5i-robot-mini-%C4%91a-ch%E1%BB%A9c-n%C4%83ng-gi%C3%A1-r%E1%BA%BB-HOT-i.1364582676.29073666239?extraParams=%7B%22display_model_id%22%3A119379651768%2C%22model_selection_logic%22%3A3%7D&sp_atk=e98f1826-9491-43a0-968d-d1239366291d&xptdk=e98f1826-9491-43a0-968d-d1239366291d,2,2025-02-03,Robot HÚT BỤi,"Chất lượng sản phẩm:như cái lòn
Đúng với mô tả:ko

Sạc bình ko cháy bống đèn chạy ko dc j hết shop lm ăn như cc",gj7kf44nhh,1738567979
robot hút bụi mini,https://shopee.vn/Robot-h%C3%BAt-b%E1%BB%A5i-SWEEPIN-th%C3%B4ng-minh-nh%E1%BB%8F-g%E1%BB%8Dn-l%C3%A0m-s%E1%BA%A1ch-m%E1%BB%8Di-ng%C3%B3c-ng%C3%A1ch-trong-nh%C3%A0-c%E1%BB%A7a-b%E1%BA%A1n-i.1343911260.27169226449?extraParams=%7B%22display_model_id%22%3A420408971570%2C%22model_selection_logic%22%3A3%7D&sp_atk=c93b0cac-3b18-498a-bc1f-7c388aa1ab98&xptdk=c93b0cac-3b18-498a-bc1f-7c388aa1ab98,3,2025-05-28,,"Chất lượng sản phẩm:gọi là dùng được chắc thế
Đúng với mô tả:như ảnh",kkh4nh,1748427391
