keyword,source_url,rating,date,variant,comment,username,timestamp
tai nghe chống ồn,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,5,2025-12-20,Tím  bản thường,"Âm thanh:Âm thanh rõ ràng
Giảm tiếng ồn:Giảm ồn tốt
Thân thiện:Đeo vừa tai

Giao hàng nhanh, đóng gói ổn.
Chất lượng tai nghe tốt, thiết kế nhỏ gọn nhưng chắc chắn. Kết nối đơn giản, chất âm tốt, giảm tiếng ồn ổn.",tuankiet1991994,1766232578
tai nghe chống ồn,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,5,2025-12-22,Trắng  bản AI 🔥🔥🔥,"Với cái giá khá mền cho tai nghe bluetooth thì chất lương chi tiết ổn thiết kế gọn đẹp, âm thanh ổn,vocal rõ,âm bass mạnh ấm,còn về pin thì sau khi tes liên tục 3 tiếng thì chỉ hết 50% với mức maxx âm lượng
Tóm lại rất ngon trong tầm giá",leenguyen2018,1766417816
tai nghe chống ồn,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,5,2026-01-11,Tím  bản AI 🔥,"Chất lượng sản phẩm:chuẩn không cần chỉmh
Tính năng nổi bật:nhỏ gọn. ĐẸP

Tai nghe này chơi game nghe nhạc cực đã nha quý vị. Sẽ ủng hộ tiếp",thengocaa67,1768099176
tai nghe chống ồn,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,5,2025-12-17,Trắng  bản AI 🔥🔥🔥,"Shop giao hàng nhanh chóng giá cả hợp lý sẽ ủng hộ shop lần sau cho shop 5 sao, tại nghe rất đẹp mà nhìn dễ thương nữa",nguyenthingocloanthu,1765982239
tai nghe chống ồn,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,5,2026-01-06,Đen  bản AI 🔥🔥🔥,"Đã nhận được hàng. Giống hình, âm thanh tốt, chống ồn tốt, chưa thử vấn đề dịch tiếng nên chưa biết thế nào. Nói chung giá này vậy là OK rồi, nên mua nha MN",nguyenthanhhien.300780,1767700265
tai nghe chống ồn,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,5,2025-12-02,Tím  bản thường,"Hình ảnh đẹp
Chuẩn mẫu đặt
Đã test thử khá oki
K biết pin đc lâu ko
Nhưng phù hợp vs giá tiền
Nên mua",medauchip0209,1764656344
tai nghe chống ồn,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,5,2026-01-05,Trắng  bản thường,"Âm thanh:nghe rõ ,bass to
Giảm tiếng ồn:ổn
Thân thiện:tai nghe vừa vặn không đau

Mình mua với giá chưa tới 100 cành ,nghe ổn , dược 3-4 tiếng , ngon trong tầm giá",f*****e,1767587232
tai nghe chống ồn,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,5,2025-12-10,Trắng  bản thường,"Âm thanh:Tôi cảm nhận âm thanh khá rõ ràng, sống động và chất lượng.
Giảm tiếng ồn:Tai nghe giảm tiếng ồn tốt, giúp tôi gọi điện rất rõ",f*****x,1765371141
tai nghe chống ồn,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,5,2025-12-02,Đen  bản AI + Hộp 🔥🔥🔥,"Âm thanh:Tôi cảm nhận âm thanh tai nghe khá rõ ràng và sống động...
Chống ồn:Tai nghe giảm tiếng ồn tốt, gọi điện rất rõ
Thân thiện:Tai nghe vừa vặn với tai, không gây đau khi đeo lâu...",m0g6p8lzeq,1764675863
tai nghe chống ồn,https://shopee.vn/MINISO-MS105-AI-Video-Tai-nghe-phi%C3%AAn-d%E1%BB%8Bch-HIFI-Tai-nghe-Bluetooth-V6.0-Ch%E1%BB%91ng-%E1%BB%93n-ENC-Tai-nghe-kh%C3%B4ng-d%C3%A2y-Ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-IPX5-Tai-nghe-th%E1%BB%83-thao-i.854443946.50801291756?extraParams=%7B%22display_model_id%22%3A262150725856%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5805f94-2dfa-43b8-b317-c25694d7d6b0&xptdk=a5805f94-2dfa-43b8-b317-c25694d7d6b0,5,2026-01-09,Đen  bản thường 🔥🔥🔥,"Sản phẩm tuyệt vời, đúng với mô tả. Giao hàng nhanh chóng, shipper thân thiện dễ mến 
Đóng gói cẩn thận, có thể thấy tâm huyết của người bán. Hộp không bị móp méo, vận chuyển rất tốt.",nhunghjk,1767968308
