username,rating,comment,variant,timestamp,date,keyword,source_url
1718qdtc0y,5,"Mua online mà được như này thì quá ưng ý luôn! Shop giao hàng cực nhanh, nhân viên tư vấn thì thân thiện hết ý. Ai còn lăn tăn cứ mạnh dạn đặt nhé, mình đảm bảo sẽ không thất vọng",Đen,1754553177,2025-08-07,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
b1cxyid4ly,5,"ê quá là oki với bạn nào muốn mua với yêu cầu thấp thui, giá như này mà đòi xịn nữa thì thôi ai đi mua loại đắt chi. Mượt, bền k thì tui chưa sài lâu chưa đánh giá được. Tui mua nó chỉ để canh góc trong đt r đứng từ xa bấm nút trong đồng hồ để chụp hình thui=))) Rồi gọi điện, máy tính, nghe nhạc,..kiểu dơ tay lên cái thui là xong việc r. Ngoài ra còn chức năng đếm bước chân, đo nhịp tim, huyết áp okela mà đúng hong.",Đen,1742280206,2025-03-18,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
e5gqavqn7x,5,"Hàng tốt, chất lượng, dùng về sau chưa bt sẽ ntn, shipper thân thiện, giao hàng nhanh, cho shop 5 sao",Đen,1742304649,2025-03-18,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
e*****x,5,"Chất lượng sản phẩm:tốt
Đúng với mô tả:ok

Ủng hộ shop
Hàng về dùng oce
Khá mượt
Ổn
Em mk rất thích
Có thể xem ngày tháng và gọi điện
Na chung oce",Đen,1742303677,2025-03-18,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
ffj0zarwnz,5,"Đã nhận được hàng nhé ,nên mua nhé mọi người hợp túi tiền ,mua đeo chơi cũng đẹp ,nhưng chưa biết sử dụng sao nhưng ủng hộ shop 5 sao trước có gì tính sau",Đen,1742302522,2025-03-18,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
nguyenhainam1103,5,"Chất lượng:ok
Tính năng:gọi điện, nhắn tin, nghe nhạc
Thiết kế:sang trọng, thể thao

Ok fine. Đồng hồ đẹp và chất",Đen,1762864844,2025-11-11,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
ezmono8rro,5,"Chất lượng:bt
Tính năng:chua sd nen chua biet

Đánh giá 5***** cho người phục vụ còn chưa d sd nên chưa biết có tốt ko",Đen,1764221133,2025-11-27,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
zd_06et36g,5,"hài lòng, sp đẹp, dây đẹp, nhiều tính năng.",Đen,1742293933,2025-03-18,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
nput71j_gw,5,"Đồng hồ đeo tay rất sang trọng , nhiều chức năng , giá cả hợp lí , đeo rất chắc chắn",Đen,1748022657,2025-05-24,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
tienem3003,5,"P/s : Hình ảnh và video chỉ mang tính chất nhận xu

1. Shop tư vấn trước và sau mua rất chu đáo
2. Nay mới nhận và đang test nên chưa có ý kiến nhìu",Trắng,1762441746,2025-11-06,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
f*****z,5,"sản phẩm rẻ, nói chung là tốt so với giá tiền, nên mua",Đen,1742301898,2025-03-18,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
ej1wn5rpm0,5,"Đồng hồ rất đẹp và có thể gọi điện, giống mô tả",Đen,1750233731,2025-06-18,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
lo33u1sfgr,5,"Giờ mới nhận được hàng m vẫn đang mày mò, chưa biết bật mạng chỗ nào, chưa biết gọi điện như nào. Shop da dẫn cụ thể cách sử dụng cho mình",Đen,1750231493,2025-06-18,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
rg7pwcyenw,5,"Chất lượng sản phẩm:ddepj
Tính năng nổi bật:đúng
Đúng với mô tả:đúng

Đẹp mỗi tội kh bỏ được sim nên hơi tiếc, chất lượng",Đen,1767885078,2026-01-08,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
venam10,5,"Tính năng nổi bật:Thời trang
Đúng với mô tả:đúng
Chất lượng sản phẩm:tốt",Đen,1761436573,2025-10-26,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
chima806,5,"Tính năng nổi bật:ko biết
Đúng với mô tả:đúng

Đẹp , đúng màu, mượt",Đen,1756188579,2025-08-26,đồng hồ thông minh thể thao,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-Th%C3%B4ng-Minh-Nghe-G%E1%BB%8Di-Bluetooth-T800-ProMax-vi%E1%BB%81n-th%C3%A9p-Thay-h%C3%ACnh-n%E1%BB%81n-D%C3%A0nh-cho-m%E1%BB%8Di-l%E1%BB%A9a-tu%E1%BB%95i-tu%E1%BB%95i-i.1411623586.28223444803?extraParams=%7B%22display_model_id%22%3A129238378528%2C%22model_selection_logic%22%3A3%7D&sp_atk=afda626c-a356-4e5f-acd1-b31f65323c0b&xptdk=afda626c-a356-4e5f-acd1-b31f65323c0b
