username,rating,comment,variant,timestamp,date,keyword
vubukali,5,"Đáng tiền, nó còn hút lau sạch hơn cả mình 🥲. Phòng mình 2 ngày là đi cấn chân, có máy này khoẻ hẳn. 
Note: dây điện đường kính <1,4cm là máy không biết né đâu, hay đi băng qua khiến phần chổi lau bị vướng dây đi không được, nên mỗi lần cho nó hút là mình phải đẩy quạt cây sát tường. Với mình thì bất tiện này cũng k đáng kể mà nếu máy khắc phục đc thì càng tuyệt vời 😋",,1732945223,2024-11-30,robot hút bụi lau nhà
cpochan,5,"Đúng với mô tả:ddungs
Chất lượng sản phẩm:toits
Tính năng nổi bật:hút bụi

Thấy bả hút bụi, lau nhà cũng gọn gàng, mau lẹ lắm. Mỗi cái là ra lệnh cho bả phải bằng tiếng Anh, mà phải đúng từng chữ câu lệnh (ko được 1 chữ), ko là bả ko hiểu. Làm mình phải liên kết bả với con Alexa mới ra lệnh được. Ai ko có Alexa thì ra lệnh qua Siri cũng được nà.
Hình ảnh chỉ mang tính chất nhận xu, tại ảnh shop sao thì bả y chang dị đó",Qrevo Curv 2 Pro,1768061496,2026-01-10,robot hút bụi lau nhà
n*****o,5,"Shop đóng gói cẩn thận, giao hàng nhanh chóng,  shipper thân thiện. Sẽ tiếp tục ủng hộ",,1738770450,2025-02-05,robot hút bụi lau nhà
luckyduck92,5,"Lực hút:ok
Lau sạch:ok

đánh giá nhận xu trước chứ chưa sử dụng, tổng quan thì robot nhìn rất dễ thương",Qrevo Curv 2 Pro,1763395504,2025-11-17,robot hút bụi lau nhà
anhhoatuyt,5,"Sản phẩm chất lượng với giá tiền, máy lau sạch nhà, thông minh và hiện đại. Rất hài lòng về robot. Mn yên tâm shop giao hàng rất cẩn thận. Sẽ ủng hộ shop tiếp ạ.",Qrevo Curv 2 Pro,1768643958,2026-01-17,robot hút bụi lau nhà
ngan_9287,5,Sịn xò con bò - phần kỹ thuật shop hỗ trợ nhanh - đóng gói cẩn thận - nói chung là chỉ là k có tiền mua thôi - chứ mua là mê,,1734705682,2024-12-20,robot hút bụi lau nhà
u*****0,5,Chất lượng sản phẩm rất tuyệt vời nha    Đóng gói sản phẩm rất đẹp và chắc chắn lắm     Shop phục vụ rất tốt nhé tư vấn nhiệt tình lắm      Giao hàng nhanh nha :>>>,,1719668807,2024-06-29,robot hút bụi lau nhà
s*****3,5,"Đầy đủ phụ kiện. Sau khi sử dụng gần 1 tháng,hôm nay vao đánh giá , chất lượng sp rất tốt : bền , rẻ, đẹp. Ship nhanh trong 2 ngày và đóng gói rất kỹ. đáng 5 sao. Thanhs và chúc shop thành công.",,1719288736,2024-06-25,robot hút bụi lau nhà
s*****9,5,"Máy chạy khỏe, lực hút mạnh, hút sạch cả những bụi bẩn nhỏ, nhà mình sàn gỗ có những khe nhưng máy vẫn hút được bụi, chống rơi tốt, điều khiển qua app điện thoại, hộp đựng rác to Biết tự chuyển hướng khi gặp chướng ngại vật, dễ sử dụng Đóng gói kỹ lưỡng và giao hàng nhanh",,1719638400,2024-06-29,robot hút bụi lau nhà
u*****0,5,"Đầy đủ phụ kiện. Sau khi sử dụng gần 1 tháng,hôm nay vao đánh giá , chất lượng sp rất tốt : bền , rẻ, đẹp. Ship nhanh trong 2 ngày và đóng gói rất kỹ. đáng 5 sao. Thanhs và chúc shop thành công.",,1719638338,2024-06-29,robot hút bụi lau nhà
